"//======================= About page","Seite: Info"
"About","Info"
"UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.","UPS bietet in Zusammenarbeit mit Magento ein kostenloses UPS Versand- und UPS Access Point™-Modul, mit dem Sie eine Vielzahl an UPS Versand- und Zustellungslösungen direkt in den Bezahlvorgang auf Ihrer Website integrieren und anbieten können! Dieses offizielle UPS Modul für Magento gibt Ihren Kunden Zugriff auf unser umfassendes UPS Access Point-Netzwerk und Zustellungsdienstleistungen."
"Features of this product","Merkmale dieses Produkts"
"Front Office","Front Office"
"Simple & easy map interface for your customers to select UPS Access Point as per their preference.","Einfache und unkomplizierte Kartenschnittstelle, damit Ihre Kunden UPS Access Point als Präferenz auswählen können."
"User-friendly interface for your customers to switch from Access Point delivery to home delivery.","Benutzerfreundliche Oberfläche, über die Ihre Kunden von Zustellung an einen Access Point zu Zustellung nach Hause wechseln können."
"Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).","Echtzeit-Versandtarife oder -Flatrates von UPS für jeden verfügbaren Service (gemäß den Back Office-Einstellungen des Händlers)."
"Back Office","Back Office"
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Vielzahl von Optionen zur Einrichtung von Zustellungstarifen, die Ihre Kunden sehen (z. B.: kostenloser Versand, Echtzeit-Versandtarife oder Flatrates gemäß der Schwellenwerte für den Warenkorbwert)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Möglichkeit, ein UPS Konto direkt im Modul selbst zu eröffnen, sofern Sie keines haben."
"Easy PDF label generation.","Einfache PDF-Etikettgenerierung."
"Real time tracking information.","Echtzeitinformationen zur Sendungsverfolgung."
"Ability to export open orders so that you can process them in other applications for more complex needs.","Möglichkeit, offene Bestellungen zu exportieren, sodass Sie sie in anderen Anwendungen für komplexere Anforderungen bearbeiten können."
"Module version number and release date","Modulversionsnummer und -veröffentlichungsdatum"
"Module version v","Modulversion V"
"Release date ","Veröffentlichungsdatum "
"Changelog","Änderungsprotokoll"
"Platform compatibility statement","Plattformkompatibilitätserklärung"
"Compatible with Magento versions 2.1, 2.2, 2.3","Kompatibel mit Magento-Versionen 2.1, 2.2, 2.3"
"UPS Shipping Module website","UPS Versandmodul-Website"
"For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>","Weitere Informationen finden Sie unter <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>"
"For more information visit","Weitere Informationen finden Sie unter"
"Netherlands_no_delete",""
"Support information","Support-Informationen"
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","Wenn Sie Unterstützung beim Installieren, Upgraden oder der Verwendung des UPS Versandmoduls benötigen, wenden Sie sich bitte an UPS:"
"Poland +48 (0) 22 203 03 21","Polen +49-(0)69 66308037"
"UPS Shipping Module","UPS Versandmodul"
"UPS Shipping","UPS Versand"
"Shipment management","Sendungsverwaltung"
"//======================= Country page","Seite: Ländereinstellung"
"Country setting","Ländereinstellung"
"Country Setting","Ländereinstellung"
"Please select your country/territory","Bitte wählen Sie Ihr Land oder Gebiet aus"
"Continue","Fortfahren"
"//======================= Terms and Condition page","Seite: Geschäftsbedingungen"
"UPS Terms and Conditions","UPS Geschäftsbedingungen"
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies, like limiting UPS's liability and my agreement on how disputes between UPS and me will be handled","Ich stimme der UPS Technologievereinbarung zu und bestätige, dass ich ausreichend Zeit hatte, sie zu lesen und zu verstehen, dass sie wichtige Bedingungen hinsichtlich der Nutzung von UPS Technologien enthält, wie z.B. zur Beschränkung der Haftung von UPS und meiner Zustimmung zur Art und Weise der Beilegung von Streitsachen zwischen UPS und mir."
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies,","Ich stimme der UPS Technologievereinbarung zu und bestätige, dass ich ausreichend Zeit hatte, sie zu lesen und zu verstehen,"
" like"," dass"
" limiting UPS's liability and my agreement on how disputes between UPS and me will be handled"," sie wichtige Bedingungen hinsichtlich der Nutzung von UPS Technologien enthält, wie z.B. zur Beschränkung der Haftung von UPS und meiner Zustimmung zur Art und Weise der Beilegung von Streitsachen zwischen UPS und mir."
"Print","Drucken"
"Cannot get Term & Condition","Kann Geschäftsbedingungen nicht abrufen"
"//======================= Account Page","Seite: Konto"
"Account","Konto"
"ACCOUNT","KONTO"
"For more information on UPS Plugins please click <a target='_blank' href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page'>this link</a> (opens in a new browser window)","Um weitere Informationen über UPS Plug-ins zu erhalten, klicken Sie auf diesen  <a target='_blank' href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page'>Link</a> (wird in einem neuen Browserfenster geöffnet)."
"Please fill the form below to start configuring UPS plug-in for your e-commerce website","Bitte füllen Sie das nachfolgende Formular aus, um mit der Konfiguration des UPS Plug-ins für Ihre E-Commerce-Website zu beginnen."
"Title","Titel"
"Full name","Kontakt Name"
"Full Name","Kontakt Name"
"Company","Unternehmen"
"Email","E-Mail"
"Phone number","Telefonnummer"
"Address type","Adressart"
"Address","Adresse"
"Postal code","Postleitzahl"
"City","Stadt"
"Country/Territory","Land/Gebiet"
"Example: Warehouse, Branch #1, etc.","Beispiel: Lager, Filiale Nr. 1 usw."
"Example: Warehouse, Branch #1","Beispiel: Lager, Filiale Nr. 1"
"Street Address","Straße"
"Apartment, Suite, Unit, Building, Floor, etc.","Apartment, Raum, Einheit, Gebäude, Etage usw."
"Department, c/o, etc.","Abteilung, c/o, usw."
"Mr","Herr"
"Miss","Frau"
"Mrs","Frau"
"Number of items in order","Anzahl der bestellten Artikel"
"Add Backup Rate","Sicherungsrate hinzufügen"
"Ms","Frau"
"I have a UPS Account Number WITH an invoice occurred in the last 45 days (90 days if your account is in the US or Canada)","Ich habe eine UPS Kundennummer und eine Rechnung aus den vergangenen 45 Tagen (90 Tage bei einem Konto in den USA oder Kanada)."
"I have a UPS Account Number WITHOUT an invoice occurred in the last 45 days (90 days if your account is in the US or Canada)","Ich habe eine UPS Kundennummer und keine Rechnung aus den vergangenen 45 Tagen (90 Tage bei einem Konto in den USA oder Kanada)."
"I do not have a UPS Account Number and would like to get one from the plug-in","Ich habe keine UPS Kundennummer und hätte gerne eine für das Plug-in."
"I do not have a UPS Account Number and would ","Ich habe keine UPS Kundennummer "
"like","und"
" to get one from the plug-in"," hätte gerne eine von dem Plug-in."
"The invoice should be 1 of the last 3 issued by UPS in last 45 days (90 days if your account is in the US or Canada)","Die Rechnung sollte eine der letzten drei sein die von UPS in den vergangenen 45 Tagen ausgestellt wurde. (90 Tage bei einem Konto in den USA oder Kanada)."
"Account name","Kontoname"
"Account number","UPS Kundennummer"
"Invoice number","Rechnungsnummer"
"Invoice amount","Rechnungsbetrag"
"Currency ","Währung"
"Currency","Währung"
"Invoice date","Rechnungsdatum"
"VAT number","Umsatzsteueridentifikationsnummer"
"Promo Code","Angebotscode"
"Please Note: Shippers are prohibited from shipping dangerous goods or hazardous materials using the account opened in this application.","Hinweis: Absendern ist es verboten, Gefahrgut oder gefährliche Materialien über das in dieser Anwendung eröffnete Konto zu versenden."
"Your account will support deliveries to authorized UPS Access Point™ locations after 24 hours.","Ihr Konto unterstützt nach 24 Stunden Zustellungen an autorisierte UPS Access Point™."
"You can find more information on dangerous goods and how UPS can support you shipping them on this link <br /><a target='_blank' href=https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page>[https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page]</a>","Sie finden weitere Information zum Gefahrgutversand und  wie UPS Sie beim Versand von Gefahrgut unterstützt, über diesen Link. <br /><a target='_blank' href=https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page>[https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page]</a>"
"Reference name that will be associate with an account. For example warehouse 1, warehouse 2,  Store 1, Store 2 etc. You can freely chose the name as per your requirement","Referenzname, der einem Konto zugeordnet wird, beispielsweise Lager 1, Lager 2, Geschäft 1, Geschäft 2 usw. Sie können den Namen gemäß Ihren Anforderungen frei auswählen."
"The postal code or zip code associated with your UPS account. It can be found on the top on each page of your UPS invoice under 'Purchaser'","Die Ihrem UPS Konto zugeordnete Postleitzahl. Diese Angabe finden Sie oben links auf Ihrer UPS Rechnung."
"The name associated with your UPS account. It can be found on the top on each page of your UPS invoice under 'Purchaser'","Der Ihrem UPS Konto zugeordnete Name. Diese Angabe finden Sie oben links auf Ihrer UPS Rechnung."
"A unique six character alphanumeric number that identifies your account. It can be found on the top left side on each page of your UPS invoice","Eine eindeutige sechsstellige alphanumerische Zahl, die Ihr Konto benennt. Diese Angabe finden Sie oben rechts auf jeder Seite Ihrer UPS Rechnung."
"A unique 12 digit number assigned by UPS to an invoice. It can be found on the top left side on each page of your UPS invoice","Eine Rechnungsnummer.  Diese Angabe finden Sie oben rechts  auf jeder Seite Ihrer UPS Rechnung."
"Total Amount Due for the given invoice. It can be found on the 'Summary of Charges' table on the first page on the invoice","Fälliger Gesamtbetrag für die jeweilige Rechnung. Diese Angabe finden Sie in der Kostenübersichtstabelle auf der ersten Seite der Rechnung."
"Date of issuing the invoice. It can be found on the top left side on each page of your UPS invoice","Ausstellungsdatum der Rechnung. Diese Angabe finden Sie oben rechts auf jeder Seite Ihrer UPS Rechnung."
"Get started","Loslegen"
"Some of the data you entered is not valid. Please check again.","Einige der von Ihnen eingegebenen Daten sind nicht gültig. Bitte überprüfen Sie sie nochmals."
"Cannot create new Account Number","Es kann keine neue Kundennummer erstellt werden."
"Email is not correct format","Die E-Mail-Adresse weist nicht das richtige Format auf."
"Your request to create a UPS Shipping Account was not successful. Please check the 'City' and 'Postal code' values that you entered. Here are some suggestions on the City and Postal code that are a valid combination - ","Ihre Anforderung, ein UPS Versandkonto zu erstellen, war nicht erfolgreich. Bitte überprüfen Sie die unter „Stadt“ und „Postleitzahl“ eingegebenen Werte. Hier finden Sie einige Vorschläge für gültige Kombinationen für „Stadt“ oder „Postleitzahl“: "
"Please update the city and postal code values with one of these selections and click Get Started","Bitte aktualisieren Sie die Codewerte für Stadt und Postleitzahl mit einer dieser Auswahlmöglichkeiten und klicken Sie auf „Loslegen“."
"Configuration","Konfiguration"
"//======================= Account Success Page","Seite: Erfolgreiche Kontoerstellung"
"Your UPS Profile","Ihr UPS Profil"
"Your Payment Account","Ihr Zahlungskonto"
"Add another account number","Weitere Kundennummer hinzufügen"
"Please enter the address attached to your account number","Bitte geben Sie die Ihrer Kundennummer angefügte Adresse an."
"Phone","Telefonnummer"
"Verify","Bestätigen"
"Next","Weiter"
"Remove","Entfernen"
"Account number already exists in 'Your Payment Account'","Kundennummer existiert bereits in „Ihr Zahlungskonto“"
"Full name:","Kontakt Name:"
"Remove Account","Konto entfernen"
"This account will be removed. Click Ok to confirm, close the dialog to cancel.","Dieses Konto wird entfernt. Klicken Sie zum Bestätigen auf „Ok“ oder schließen Sie das Dialogfeld, um den Vorgang abzubrechen."
"Your UPS account has been successfull registered","Ihr UPS Konto wurde erfolgreich registriert."
"//======================= Shipping Services page","Seite: Versandservices"
"Shipping Services","Versandservices"
"Select the UPS services you want to be visible in the checkout for your e-shoppers. To learn more about UPS services, refer UPS Tariff/Terms and Conditions of Service on UPS.COM","Wählen Sie die UPS Services aus, die für Ihre Online-Käufer beim Bezahlen angezeigt werden sollen. Weitere Informationen über UPS Services finden Sie auf UPS.COM im Bereich zu UPS Tarifen bzw. Servicebedingungen."
"Deliver to UPS Access Point™ (to-AP delivery)","An UPS Access Point™ zustellen (Zustellung an AP)"
"UPS delivers the parcel to a UPS Access Point™ that the customer selected, then customer picks up their order there","UPS stellt das Paket an einen vom Kunden ausgewählten UPS Access Point™ zu, dort holt der Kunde seine Bestellung ab."
"Yes","Ja"
"No","Nein"
"Set as default shipping option","Als Standardversandoption festlegen"
"Select the shipping services for your customers to choose","Wählen Sie die Versandservices aus, aus denen Ihre Kunden auswählen können."
"International shipping only - visible, when shipping address is outside of EU","Nur internationaler Versand – sichtbar, wenn sich die Versandadresse außerhalb der EU befindet"
"Access Point display setting:","Einstellung für Access Point-Anzeige:"
"Number of Access Points visible to customers:","Anzahl der für Kunden angezeigten Access Points:"
"Display all the Access Points in range of:","Anzeige aller Access Points im Umkreis von:"
"kilometer around consignee's selected address","Kilometer um die ausgewählte Adresse des Empfängers"
"Choose Account Number for this option","Kundennummer für diese Option auswählen"
"Deliver to consignee address (to-address delivery)","An Empfängeradresse zustellen (Zustellung an Adresse)"
"UPS delivers the parcel to the shipping address provided by customer.","UPS liefert das Paket an die vom Kunden angegebene Versandadresse."
"Cut off time","Annahmeschluss"
"The cut off time selected here will be used in calculating the schedule delivery date and time, which will be displayed on your website checkout.","Der hier ausgewählte Annahmeschluss wird bei der Berechnung des planmäßigen Datums und der Uhrzeit der Zustellung verwendet, das bzw. die beim Bezahlen auf Ihrer Website angezeigt wird."
"For example, if the cut off time is selected as 5 PM and your e-shoppers views your webstore at 5.01 PM, all UPS scheduled delivery dates and time will be calculated from the following business day. When deciding this cut off time, please ensure that you have sufficient time to fulfill the order before the UPS scheduled pick up or you are able to drop off the packages at a UPS Access Point™.","Wenn beispielsweise als Annahmeschluss 17 Uhr ausgewählt ist und Ihre Online-Käufer sich Ihren Online-Shop um 17:01 Uhr ansehen, werden alle geplanten UPS Zustellungsdaten und -uhrzeiten ab dem darauffolgenden Arbeitstag berechnet. Wenn Sie diesen Annahmeschluss festlegen, stellen Sie bitte sicher, dass Sie über ausreichend Zeit verfügen, die Bestellung vor der von UPS geplanten Abholung abzuwickeln, oder ob Sie die Pakete bei einem UPS Access Point™ abgeben können."
"If you are unsure about fulfilling customer orders on the same day, you can select 'Disable' which will result in the e-shopper seeing a generic delivery schedule for each available UPS service. For Example; 'UPS® Standard - In most cases, delivered within 1 to 3 business days in Europe.'","Wenn Sie unsicher sind, ob Sie Kundenbestellungen am selben Tag abwickeln können, können Sie „Deaktivieren“ auswählen. Dadurch wird den Käufern ein allgemeiner Zustellungszeitplan für jeden verfügbaren UPS Service angezeigt. Beispiel: „UPS® Standard – Zustellung in den meisten Fällen innerhalb von 1 bis 3 Werktagen in Europa.“"
"Save","Speichern"
"Please select at least one shipping service.","Bitte wählen Sie mindestens einen Versandservice aus."
"UPS Access Point™ Economy","UPS Access Point™ Economy"
"UPS® Standard","UPS® Standard"
"UPS Expedited®","UPS Expedited®"
"UPS Express Saver®","UPS Express Saver®"
"UPS Express®","UPS Express®"
"UPS Express Plus®","UPS Express Plus®"
"//======================= Collect on Delivery (COD) page","Seite: Nachnahme (COD)"
"Collect on Delivery (COD)","Nachnahme (COD)"
"You have the official Magento COD module enabled!","Sie haben das offizielle Magento-Modul für Zahlung per Nachnahme aktiviert!"
"Only show Access Points supporting COD shipments?","Möchten Sie nur Access Points anzeigen, die Nachnahmesendungen unterstützen?"
"Select 'YES' if you plan to offer COD shipments to a UPS Access Point™","Wählen Sie „JA“ aus, wenn Sie Nachnahmesendungen an UPS Access Points ihren Kunden anbieten möchten."
"The COD Shipping service of this plug-in is automatically compatible with the official Collect on Delivery (COD) module by Magento.","Der Service für Zustellung per Nachnahme bei diesem Plug-ins ist automatisch kompatibel mit dem offiziellen Nachnahme-Modul von Magento."
"You do not have the official Magento COD module installed and/or enabled!","Sie haben nicht das offizielle Zahlung per Nachnahme-Modul von Magento installiert und/oder aktiviert."
"The COD Shipping service of this plugin is automatically compatible with the official Cash on Delivery (COD) module by Magento.","Der Service für Zustellung per Nachnahme dieses Moduls ist automatisch kompatibel mit dem offiziellen Zahlung per Nachnahme-Modul von Magento."
"If you want the UPS Shipping module to automatically detect COD shipments, <strong>please make sure that you have installed Magento's Collect on Delivery (COD)</strong>. If you already have Magento's Collect on Delivery (COD) module installed, <strong>please make sure that the module is enabled</strong>. [<a href='https://docs.magento.com/m2/ce/user_guide/payment/cash-on-delivery.html' target='_blank'>Click here</a>] for detailed guidance.","Wenn Sie möchten, dass das UPS Versandmodul automatisch Nachnahmesendungen erkennt, stellen Sie bitte sicher, dass Sie das Zahlung per Nachnahme-Modul von Magento installiert haben. Wenn Sie bereits das Zahlung per Nachnahme-Modul von Magento installiert haben, stellen Sie sicher, dass das Modul aktiviert ist. [<a href='https://docs.magento.com/m2/ce/user_guide/payment/cash-on-delivery.html' target='_blank'>Klicken Sie hier</a>], um detaillierte Anweisungen zu erhalten."
"COD Option","Nachnahme-Option"
"//======================= Package Dimensions page","Seite: Paketabmessungen"
"Package Dimensions","Paketabmessungen"
"Default Package Setting","Standardpaketeinstellung"
"Default package setting","Standardpaketeinstellung"
"Please enter weight and dimensions of your packaging here. You can add multiple package dimensions, which can be easily selected in a dropdown option when creating shipments in the plug-in.","Bitte geben Sie hier Gewicht und Maße Ihres Pakets ein. Sie können mehrere Paketabmessungen hinzufügen, die beim Erstellen von Lieferungen einfach in einer Drop-down-Option im Plug-in ausgewählt werden können."
"In case you decide to show the real time UPS shipping rate (to be configured in the next screen) to the e-shoppers, the plug-in will use the first package, referred to as the 'Default Package' that is displayed below. The Default Package's weight and dimensions will be used to calculate the UPS shipping rates that will be displayed to the e-shoppers.","Wenn Sie sich entscheiden, den Online-Käufern die Echtzeit-Versandtarife von UPS anzuzeigen (zu konfigurieren im nächsten Bildschirm), verwendet das Plug-in das erste Paket, bezeichnet als „Standardpaket“, das nachfolgend abgebildet ist. Gewicht und Maße des Standardpakets werden verwendet, um die UPS Versandtarife zu berechnen, die Online-Käufern angezeigt werden."
"Add New Package","Neues Paket hinzufügen"
"Package name","Paketname"
"Example: Standard, Large, Phone box, etc.","Beispiel: Standard, Groß, Telefonkarton usw."
"Weight","Gewicht"
"Unit","Einheit"
"Dimension","Abmessung"
"Add Package","Paket hinzufügen"
"Length","Länge"
"Width","Breite"
"Height","Höhe"
"The name Package is exist.","Der Name „Paket“ existiert bereits."
"Edit","Bearbeiten"
"Delete","Löschen"
"Editing Default Package","Bearbeiten des Standardpakets"
"Remove Package","Paket entfernen"
"You are going to remove this default package from your profile. Click Ok to confirm, close the dialog to cancel.","Sie sind im Begriff, dieses Standardpaket aus Ihrem Profil zu entfernen. Klicken Sie zum Bestätigen auf „Ok“ oder schließen Sie das Dialogfeld, um den Vorgang abzubrechen."
"OK","OK"
"Please input at least one default package to continue.","Geben Sie bitte mindestens ein Standardpaket ein, um fortzufahren."
"Please select an option","Bitte wählen Sie eine Option aus"
"Basic (number of items in the e-shopper order determine the package size)","Standard (Anzahl der Artikel in der E-Shopper-Bestellung bestimmt die Paketgröße)"
"Advanced (weights and dimensions of products in the e-shopper order determine the package size)","Erweitert (Gewicht und Abmessungen der Produkte in der E-Shopper-Bestellung bestimmen die Paketgröße)"
"Package dimensions:","Paketabmessungen:"
"Note: the plugin will create a custom package size if an e-shopper order is larger than the packages you enter","Hinweis: Das Plugin generiert eine kundenspezifische Paketgröße, wenn eine E-Shopper-Bestellung größer ist als die Pakete, die Sie eingeben."
"Warning! To use this option you must enter product weights in the product settings of your shop.","Warnung! Um diese Option nutzen zu können, müssen Sie in den Produkteinstellungen Ihres Shops Produktgewichte eingeben."
"Include dimensions in rating","Maße in die Preisberechnung einbeziehen"
"Yes","Ja"
"No","Nein"
"If set to “No”, rates will be based on product weights only.&nbsp; If set to “Yes”, product dimensions must be entered in the product settings of your shop","Wenn „Nein“ eingestellt ist, basieren die Preise nur auf den Produktgewichten.  Bei der Einstellung „Ja“ müssen die Produktabmessungen in den Produkteinstellungen Ihres Shops eingegeben werden"
"Name","Name"
"Length","Länge"
"Width","Breite"
"Height","Höhe"
"Weight","Gewicht"
"Max Weight","Maximales Gewicht"
"Backup rate:","Notfallpreis:"
"Service Name","Name des Services"
"Rate","Preis"
"Backup rate will only display to e-shoppers if there is an issue within product settings, such as weights missing or if weights/dimensions exceed UPS limits","Notfallpreise werden nur dann für E-Shopper angezeigt, wenn ein Problem in den Produkteinstellungen vorliegt, z. B. fehlende Gewichte oder wenn Gewichte/Abmessungen die UPS-Grenzwerte überschreiten."
"Add default packages if you would like the package size used for rating to change based on the number of items in the e-shopper’s order","Fügen Sie Standardpaketabmessungen hinzu, wenn sich die für die Preisberechnung verwendete Paketgröße je nach Anzahl der Artikel in der Bestellung des E-Shopper ändern soll"
"Note: if the number of items in the e-shopper order do not match any of your entries, then the size of the package used for rating will be based on that of the highest item count exceeded by the e-shopper order.","Hinweis: Wenn die Anzahl der Artikel in der E-Shopper-Bestellung nicht mit Ihren Eingaben übereinstimmt, basiert die Größe des für die Bewertung verwendeten Pakets auf der höchsten Anzahl von Artikeln, die von der E-Shopper-Bestellung überschritten wurden."
"//======================= Checkout Shipping Rates page","Seite: Bezahlen – Versandtarife"
"Checkout Shipping Rates","Bezahlen – Versandtarife"
"Ship to UPS Access Point&trade;","An UPS Access Point™ versenden"
"Flat rates","Flatrates"
"Real time shipping rates","Echtzeit-Versandtarife"
"Delivery rates is","Die Zustellungstarife entsprechen"
"% of UPS shipping rates","% der UPS Versandtarife"
"The e-shopper will see the % of real time UPS rates. These rates are calculated using the default package weight and dimensions that you configured in the previous screen (Package Dimensions).","Der Online-Käufer sieht den Prozentsatz der UPS Echtzeitkosten. Diese Tarife werden mithilfe von Gewicht und Maßen des Standardpakets berechnet, das Sie im vorherigen Bildschirm konfiguriert haben (Paketabmessungen)."
"Please Note:<br />1. UPS real time shipping rates are exclusive of VAT. If you want to display the rates including VAT, please add the VAT % to the shipping rate. E.g. If VAT is 23%, and you want to display rates including VAT, you should insert 123% above.<br />2. The e-shopper may select COD as a payment option within the Magento checkout after the shipping rates are calculated. In this scenario, UPS COD surcharges which will be billed, are not added to the displayed shipping rates automatically. This is due to the order in which Magento displays shipping and payment options.","Hinweis:<br />1. Die UPS Echtzeit-Versandtarife verstehen sich exklusive Mehrwertsteuer. Wenn Sie die Tarife einschließlich Mehrwertsteuer anzeigen möchten, fügen Sie bitte den Mehrwertsteuer-Prozentsatz zu den Versandtarifen hinzu. Beispiel: Wenn die MwSt 23% beträgt und Sie die Tarife einschließlich MwSt anzeigen möchten, fügen Sie oben 123% ein.<br />2. Der Online-Käufer kann im Rahmen des Bezahlens über Magento Nachnahme als Zahlungsoption auswählen, nachdem die Versandtarife berechnet wurden. In diesem Szenario werden UPS Nachnahmezuschläge, die berechnet werden, nicht automatisch zu den angezeigten Versandtarifen addiert. Dies liegt an der Reihenfolge, in der Magento Versand- und Zahlungsoptionen anzeigt."
"Ship to Address","An Adresse versenden"
"Order Value Threshold","Bestellwert-Schwellenwert"
"Delivery rates","Zustellungstarife"
"The minimum thresholds can not be the same.","Die Mindestschwellenwerte dürfen nicht identisch sein."
"//======================= Complete Configuration page","Seite: Konfiguration abschließen"
"Complete Configuration","Konfiguration abschließen"
"You can start shipping now!","Sie können jetzt mit dem Versand beginnen!"
"Click on the 'Complete Configuration' button to finish the configuration of the plug-in and start offering UPS shipping services on your website.","Klicken Sie auf die Schaltfläche „Konfiguration abschließen“, um die Konfiguration des Plug-ins abzuschließen und UPS Versandservices auf Ihrer Website anzubieten."
"If you are new to UPS, please refer to the following FAQs for additional information:","Wenn Sie neu bei UPS sind, finden Sie in den folgenden häufig gestellten Fragen weitere Informationen:"
